constructorResultsId,raceId,constructorId,points
14808,900,131,25
14809,900,9,0
14810,900,1,33
14811,900,6,18
14812,900,3,10
14813,900,10,9
14814,900,5,6
14815,900,15,0
14816,900,206,0
14817,900,208,0
14818,900,207,0
14819,901,131,43
14820,901,9,15
14821,901,6,12
14822,901,10,10
14823,901,1,10
14824,901,3,10
14825,901,5,1
14826,901,208,0
14827,901,207,0
14828,901,206,0
14829,901,15,0
14830,902,131,43
14831,902,10,25
14832,902,9,20
14833,902,3,10
14834,902,6,3
14835,902,5,0
14836,902,208,0
14837,902,206,0
14838,902,207,0
14839,902,1,0
14840,902,15,0
14841,903,131,43
14842,903,6,19
14843,903,9,22
14844,903,10,10
14845,903,3,6
14846,903,5,1
14847,903,1,0
14848,903,208,0
14849,903,15,0
14850,903,207,0
14851,903,206,0
15820,1007,9,25
14853,904,131,43
14854,904,9,27
14855,904,3,10
14856,904,6,14
14857,904,208,4
14858,904,10,3
14859,904,1,0
14860,904,5,0
14861,904,15,0
14862,904,206,0
14863,904,207,0
14864,905,131,43
14865,905,9,15
14866,905,6,12
14867,905,10,10
14868,905,1,9
14869,905,3,6
14870,905,208,4
14871,905,206,2
14872,905,207,0
14873,905,15,0
14874,905,5,0
14875,906,9,40
14876,906,131,18
14877,906,1,14
14878,906,10,10
14879,906,6,9
14880,906,3,6
14881,906,5,4
14882,906,15,0
14883,906,208,0
14884,906,207,0
14885,906,206,0
14886,907,131,43
14887,907,3,27
14888,907,6,11
14889,907,10,10
14890,907,1,6
14891,907,9,4
14892,907,208,0
14893,907,15,0
14894,907,206,0
14895,907,207,0
14896,907,5,0
14897,908,131,25
14898,908,3,18
14899,908,9,25
14900,908,1,18
14901,908,6,8
14902,908,10,4
14903,908,5,3
14904,908,208,0
14905,908,15,0
14906,908,206,0
14907,908,207,0
14908,909,131,40
14909,909,3,18
14910,909,9,20
14911,909,6,10
14912,909,10,7
14913,909,1,6
14914,909,208,0
14915,909,5,0
14916,909,15,0
14917,909,206,0
14918,909,207,0
14919,910,9,31
14920,910,6,26
14921,910,131,27
14922,910,3,14
14923,910,5,2
14924,910,1,1
14925,910,15,0
14926,910,208,0
14927,910,206,0
14928,910,207,0
14929,910,10,0
14930,911,9,35
14931,911,131,18
14932,911,3,15
14933,911,6,18
14934,911,1,8
14935,911,10,5
14936,911,5,2
14937,911,15,0
14938,911,206,0
14939,911,207,0
14940,911,208,0
14941,912,131,43
14942,912,3,27
14943,912,9,18
14944,912,10,6
14945,912,1,5
14946,912,6,2
14947,912,5,0
14948,912,208,0
14949,912,15,0
14950,912,207,0
14951,912,206,0
14952,913,131,25
14953,913,9,33
14954,913,6,16
14955,913,3,10
14956,913,5,8
14957,913,10,8
14958,913,1,1
14959,913,208,0
14960,913,207,0
14961,913,206,0
14962,913,15,0
14963,914,131,43
14964,914,9,27
14965,914,1,10
14966,914,3,14
14967,914,10,5
14968,914,5,2
14969,914,6,0
14970,914,15,0
14971,914,208,0
14972,914,207,0
14973,914,206,0
14974,915,131,43
14975,915,3,15
14976,915,1,22
14977,915,6,10
14978,915,9,10
14979,915,10,1
14980,915,5,0
14981,915,15,0
14982,915,208,0
14983,915,207,0
14984,915,206,0
14987,916,131,43
14988,916,9,21
14989,916,3,22
14990,916,6,8
14991,916,1,4
14992,916,5,1
14993,916,208,2
14994,916,15,0
14995,916,10,0
14996,917,131,43
14997,917,3,16
14998,917,1,14
14999,917,9,10
15000,917,6,14
15001,917,10,4
15002,917,5,0
15003,917,208,0
15004,917,15,0
15005,918,131,50
15006,918,3,66
15007,918,9,32
15008,918,1,20
15009,918,10,28
15010,918,6,6
15011,918,5,0
15012,918,208,0
15013,918,15,0
15014,918,207,0
15821,1007,6,33
15015,926,131,43
15016,926,6,15
15017,926,3,12
15018,926,15,14
15019,926,9,8
15020,926,10,7
15021,926,5,2
15022,926,1,0
15023,926,208,0
15024,927,6,37
15025,927,131,33
15026,927,3,18
15027,927,5,10
15028,927,9,3
15029,927,208,0
15030,927,15,0
15031,927,10,0
15032,927,209,0
15033,927,1,0
15034,928,131,43
15035,928,6,27
15036,928,3,18
15037,928,208,6
15038,928,15,5
15039,928,9,2
15040,928,10,0
15041,928,1,0
15042,928,5,0
15043,928,209,0
15044,929,131,40
15045,929,6,28
15046,929,3,13
15047,929,9,10
15048,929,208,6
15049,929,10,4
15050,929,1,0
15051,929,15,0
15052,929,209,0
15053,929,5,0
15054,930,131,43
15055,930,6,25
15056,930,3,20
15057,930,9,7
15058,930,208,4
15059,930,5,2
15060,930,15,0
