constructorStandingsId,raceId,constructorId,points,position,positionText,wins
25943,901,1,43,2,2,0
25942,901,131,68,1,1,2
25941,900,9,0,11,11,0
25940,900,207,0,10,10,0
25938,900,206,0,8,8,0
25939,900,208,0,9,9,0
25937,900,15,0,7,7,0
25936,900,5,6,6,6,0
25935,900,10,9,5,5,0
25934,900,3,10,4,4,0
25933,900,6,18,3,3,0
25932,900,1,33,1,1,0
25931,900,131,25,2,2,1
25944,901,6,30,3,3,0
25945,901,3,20,4,4,0
25946,901,10,19,5,5,0
25947,901,5,7,7,7,0
25948,901,15,0,8,8,0
25949,901,206,0,11,11,0
25950,901,208,0,9,9,0
25951,901,207,0,10,10,0
25952,901,9,15,6,6,0
25953,902,131,111,1,1,3
25954,902,1,43,3,3,0
25955,902,6,33,5,5,0
25956,902,3,30,6,6,0
25957,902,10,44,2,2,0
25958,902,5,7,7,7,0
25959,902,15,0,9,9,0
25960,902,206,0,10,10,0
25961,902,208,0,8,8,0
25962,902,207,0,11,11,0
25963,902,9,35,4,4,0
25964,903,131,154,1,1,4
25965,903,1,43,5,5,0
25966,903,6,52,4,4,0
25967,903,3,36,6,6,0
25968,903,10,54,3,3,0
25969,903,5,8,7,7,0
25970,903,15,0,9,9,0
25971,903,206,0,10,10,0
25972,903,208,0,8,8,0
25973,903,207,0,11,11,0
25974,903,9,57,2,2,0
25975,904,131,197,1,1,5
25976,904,1,43,6,6,0
25977,904,6,66,3,3,0
25978,904,3,46,5,5,0
25979,904,10,57,4,4,0
25980,904,5,8,7,7,0
25981,904,15,0,9,9,0
25982,904,206,0,10,10,0
25983,904,208,4,8,8,0
25984,904,207,0,11,11,0
25985,904,9,84,2,2,0
25986,905,131,240,1,1,6
25987,905,1,52,5,5,0
25988,905,6,78,3,3,0
25989,905,3,52,6,6,0
25990,905,10,67,4,4,0
25991,905,5,8,8,8,0
25992,905,15,0,10,10,0
25993,905,206,2,9,9,0
25994,905,208,8,7,7,0
25995,905,207,0,11,11,0
25996,905,9,99,2,2,0
25997,906,131,258,1,1,6
25998,906,1,66,5,5,0
25999,906,6,87,3,3,0
26000,906,3,58,6,6,0
26001,906,10,77,4,4,0
26002,906,5,12,7,7,0
26003,906,15,0,10,10,0
26004,906,206,2,9,9,0
26005,906,208,8,8,8,0
26006,906,207,0,11,11,0
26007,906,9,139,2,2,1
26008,907,131,301,1,1,7
26009,907,1,72,6,6,0
26010,907,6,98,3,3,0
26011,907,3,85,5,5,0
26012,907,10,87,4,4,0
26013,907,5,12,7,7,0
26014,907,15,0,10,10,0
26015,907,206,2,9,9,0
26016,907,208,8,8,8,0
26017,907,207,0,11,11,0
26018,907,9,143,2,2,1
26019,908,131,326,1,1,8
26020,908,1,90,6,6,0
26021,908,6,106,3,3,0
26022,908,3,103,4,4,0
26023,908,10,91,5,5,0
26024,908,5,15,7,7,0
26025,908,15,0,10,10,0
26026,908,206,2,9,9,0
26027,908,208,8,8,8,0
26028,908,207,0,11,11,0
26029,908,9,168,2,2,1
26030,909,131,366,1,1,9
26031,909,1,96,6,6,0
26032,909,6,116,4,4,0
26033,909,3,121,3,3,0
26034,909,10,98,5,5,0
26035,909,5,15,7,7,0
26036,909,15,0,10,10,0
26037,909,206,2,9,9,0
26038,909,208,8,8,8,0
26039,909,207,0,11,11,0
26040,909,9,188,2,2,1
26041,910,131,393,1,1,9
26042,910,1,97,6,6,0
26043,910,6,142,3,3,0
26044,910,3,135,4,4,0
26045,910,10,98,5,5,0
26046,910,5,17,7,7,0
26047,910,15,0,10,10,0
26048,910,206,2,9,9,0
26049,910,208,8,8,8,0
26050,910,207,0,11,11,0
26051,910,9,219,2,2,2
26052,911,131,411,1,1,9
26053,911,1,105,5,5,0
26054,911,6,160,3,3,0
26055,911,3,150,4,4,0
26056,911,10,103,6,6,0
26057,911,5,19,7,7,0
26058,911,15,0,10,10,0
26059,911,206,2,9,9,0
26060,911,208,8,8,8,0
26061,911,207,0,11,11,0
26062,911,9,254,2,2,3
26063,912,131,454,1,1,10
26064,912,1,110,5,5,0
26065,912,6,162,4,4,0
26066,912,3,177,3,3,0
26067,912,10,109,6,6,0
26068,912,5,19,7,7,0
26069,912,15,0,10,10,0
26070,912,206,2,9,9,0
26071,912,208,8,8,8,0
26072,912,207,0,11,11,0
26073,912,9,272,2,2,3
26074,913,131,479,1,1,11
26075,913,1,111,6,6,0
26076,913,6,178,4,4,0
26077,913,3,187,3,3,0
26078,913,10,117,5,5,0
26079,913,5,27,7,7,0
26080,913,15,0,10,10,0
26081,913,206,2,9,9,0
26082,913,208,8,8,8,0
26083,913,207,0,11,11,0
26084,913,9,305,2,2,3
26085,914,131,522,1,1,12
26086,914,1,121,6,6,0
26087,914,6,178,4,4,0
26088,914,3,201,3,3,0
26089,914,10,122,5,5,0
26090,914,5,29,7,7,0
26091,914,15,0,10,10,0
26092,914,206,2,9,9,0
26093,914,208,8,8,8,0
26094,914,207,0,11,11,0
26095,914,9,332,2,2,3
26096,915,131,565,1,1,13
26097,915,1,143,5,5,0
26098,915,6,188,4,4,0
26099,915,3,216,3,3,0
26100,915,10,123,6,6,0
