driverId,driverRef,number,code,forename,surname,dob,nationality
1,hamilton,44,HAM,Lewis,Hamilton,07-01-85,British
2,heidfeld,\N,HEI,Nick,Heidfeld,10-05-77,German
3,rosberg,6,ROS,Nico,Rosberg,27-06-85,German
4,alonso,14,ALO,Fernando,Alonso,29-07-81,Spanish
5,kovalainen,\N,KOV,Heikki,Kovalainen,19-10-81,Finnish
6,nakajima,\N,NAK,Kazuki,Nakajima,11-01-85,Japanese
7,bourdais,\N,BOU,Sébastien,Bourdais,28-02-79,French
8,raikkonen,7,RAI,Kimi,Räikkönen,17-10-79,Finnish
9,kubica,88,KUB,Robert,Kubica,07-12-84,Polish
10,glock,\N,GLO,Timo,Glock,18-03-82,German
11,sato,\N,SAT,Takuma,Sato,28-01-77,Japanese
12,piquet_jr,\N,PIQ,Nelson,Piquet Jr.,25-07-85,Brazilian
13,massa,19,MAS,Felipe,Massa,25-04-81,Brazilian
14,coulthard,\N,COU,David,Coulthard,27-03-71,British
15,trulli,\N,TRU,Jarno,Trulli,13-07-74,Italian
16,sutil,99,SUT,Adrian,Sutil,11-01-83,German
17,webber,\N,WEB,Mark,Webber,27-08-76,Australian
18,button,22,BUT,Jenson,Button,19-01-80,British
19,davidson,\N,DAV,Anthony,Davidson,18-04-79,British
20,vettel,5,VET,Sebastian,Vettel,03-07-87,German
21,fisichella,\N,FIS,Giancarlo,Fisichella,14-01-73,Italian
22,barrichello,\N,BAR,Rubens,Barrichello,23-05-72,Brazilian
23,ralf_schumacher,\N,SCH,Ralf,Schumacher,30-06-75,German
24,liuzzi,\N,LIU,Vitantonio,Liuzzi,06-08-80,Italian
25,wurz,\N,WUR,Alexander,Wurz,15-02-74,Austrian
26,speed,\N,SPE,Scott,Speed,24-01-83,American
27,albers,\N,ALB,Christijan,Albers,16-04-79,Dutch
28,markus_winkelhock,\N,WIN,Markus,Winkelhock,13-06-80,German
29,yamamoto,\N,YAM,Sakon,Yamamoto,09-07-82,Japanese
30,michael_schumacher,\N,MSC,Michael,Schumacher,03-01-69,German
31,montoya,\N,MON,Juan,Pablo Montoya,20-09-75,Colombian
32,klien,\N,KLI,Christian,Klien,07-02-83,Austrian
33,monteiro,\N,TMO,Tiago,Monteiro,24-07-76,Portuguese
34,ide,\N,IDE,Yuji,Ide,21-01-75,Japanese
35,villeneuve,\N,VIL,Jacques,Villeneuve,09-04-71,Canadian
36,montagny,\N,FMO,Franck,Montagny,05-01-78,French
37,rosa,\N,DLR,Pedro,de la Rosa,24-02-71,Spanish
38,doornbos,\N,DOO,Robert,Doornbos,23-09-81,Dutch
39,karthikeyan,\N,KAR,Narain,Karthikeyan,14-01-77,Indian
40,friesacher,\N,FRI,Patrick,Friesacher,26-09-80,Austrian
41,zonta,\N,ZON,Ricardo,Zonta,23-03-76,Brazilian
42,pizzonia,\N,PIZ,Antônio,Pizzonia,11-09-80,Brazilian
67,buemi,\N,BUE,Sébastien,Buemi,31-10-88,Swiss
69,badoer,\N,BAD,Luca,Badoer,25-01-71,Italian
76,magnussen,\N,MAG,Jan,Magnussen,04-07-73,Danish
153,alguersuari,\N,ALG,Jaime,Alguersuari,23-03-90,Spanish
154,grosjean,8,GRO,Romain,Grosjean,17-04-86,French
155,kobayashi,10,KOB,Kamui,Kobayashi,13-09-86,Japanese
376,bianchi,\N,BIA,Lucien,Bianchi,10-11-34,Belgian
842,gasly,10,GAS,Pierre,Gasly,07-02-96,French
807,hulkenberg,27,HUL,Nico,Hülkenberg,19-08-87,German
808,petrov,\N,PET,Vitaly,Petrov,08-09-84,Russian
810,grassi,\N,DIG,Lucas,di Grassi,11-08-84,Brazilian
811,bruno_senna,\N,SEN,Bruno,Senna,15-10-83,Brazilian
812,chandhok,\N,CHA,Karun,Chandhok,19-01-84,Indian
813,maldonado,13,MAL,Pastor,Maldonado,09-03-85,Venezuelan
814,resta,\N,DIR,Paul,di Resta,16-04-86,British
815,perez,11,PER,Sergio,Pérez,26-01-90,Mexican
816,ambrosio,\N,DAM,Jérôme,d'Ambrosio,27-12-85,Belgian
817,ricciardo,3,RIC,Daniel,Ricciardo,01-07-89,Australian
818,vergne,25,VER,Jean-Éric,Vergne,25-04-90,French
819,pic,\N,PIC,Charles,Pic,15-02-90,French
820,chilton,4,CHI,Max,Chilton,21-04-91,British
821,gutierrez,21,GUT,Esteban,Gutiérrez,05-08-91,Mexican
822,bottas,77,BOT,Valtteri,Bottas,28-08-89,Finnish
823,garde,\N,VDG,Giedo,van der Garde,25-04-85,Dutch
