raceId,driverId,lap,position,time,milliseconds
900,3,1,1,01:42.0,102038
900,3,2,1,01:37.7,97687
900,3,3,1,01:35.8,95765
900,3,4,1,01:34.9,94939
900,3,5,1,01:35.4,95438
900,3,6,1,01:35.0,94977
900,3,7,1,01:35.4,95417
900,3,8,1,01:34.5,94550
900,3,9,1,01:34.2,94217
900,3,10,1,01:34.4,94364
900,3,11,1,01:35.2,95185
900,3,12,1,02:14.3,134269
900,3,13,1,02:30.0,149953
900,3,14,1,02:21.2,141208
900,3,15,1,02:14.5,134486
900,3,16,1,01:34.0,93976
900,3,17,1,01:34.0,94040
900,3,18,1,01:33.2,93195
900,3,19,1,01:32.5,92478
900,3,20,1,01:33.3,93331
900,3,21,1,01:32.8,92839
900,3,22,1,01:33.1,93144
900,3,23,1,01:33.2,93213
900,3,24,1,01:33.9,93936
900,3,25,1,01:33.9,93941
900,3,26,1,01:34.5,94539
900,3,27,1,01:35.6,95588
900,3,28,1,01:35.4,95416
900,3,29,1,01:34.1,94069
900,3,30,1,01:34.9,94946
900,3,31,1,01:34.3,94272
900,3,32,1,01:35.3,95305
900,3,33,1,01:34.1,94088
900,3,34,1,01:34.0,93979
900,3,35,1,01:34.0,93981
900,3,36,1,01:34.5,94464
900,3,37,1,01:35.2,95190
900,3,38,1,01:55.2,115194
900,3,39,1,01:41.4,101375
900,3,40,1,01:33.4,93394
900,3,41,1,01:33.2,93243
900,3,42,1,01:33.3,93286
900,3,43,1,01:32.7,92672
900,3,44,1,01:32.8,92786
900,3,45,1,01:34.1,94137
900,3,46,1,01:33.1,93148
900,3,47,1,01:33.5,93498
900,3,48,1,01:32.7,92704
900,3,49,1,01:32.8,92800
900,3,50,1,01:32.8,92757
900,3,51,1,01:33.9,93863
900,3,52,1,01:33.0,93001
900,3,53,1,01:33.0,93026
900,3,54,1,01:33.1,93052
900,3,55,1,01:33.2,93185
900,3,56,1,01:33.3,93309
900,3,57,1,01:33.9,93857
900,817,1,2,01:43.5,103549
