qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
5860,900,1,131,44,1,01:31.7,01:42.9,01:44.2
5861,900,817,9,3,2,01:30.8,01:42.3,01:44.5
5862,900,3,131,6,3,01:32.6,01:42.3,01:44.6
5863,900,825,1,20,4,01:30.9,01:43.2,01:45.7
5864,900,4,6,14,5,01:31.4,01:42.8,01:45.8
5865,900,818,5,25,6,01:33.5,01:43.8,01:45.9
5866,900,807,10,27,7,01:33.9,01:43.7,01:46.0
5867,900,826,5,26,8,01:33.8,01:44.3,01:47.4
5868,900,13,3,19,9,01:31.2,01:44.2,01:48.1
5869,900,822,3,77,10,01:31.6,01:43.9,01:48.1
5870,900,18,1,22,11,01:31.4,01:44.4,\N
5871,900,8,6,7,12,01:32.4,01:44.5,\N
5872,900,20,9,1,13,01:31.9,01:44.7,\N
5873,900,16,15,99,14,01:33.7,01:45.7,\N
5874,900,155,207,10,15,01:34.3,01:45.9,\N
5875,900,815,10,11,16,01:34.1,01:47.3,\N
5876,900,820,206,4,17,01:34.3,\N,\N
5877,900,824,206,17,18,01:34.8,\N,\N
5878,900,821,15,21,19,01:35.1,\N,\N
5879,900,828,207,9,20,01:35.2,\N,\N
5880,900,154,208,8,21,01:37.0,\N,\N
5881,900,813,208,13,22,\N,\N,\N
5882,901,1,131,44,1,01:57.2,01:59.0,01:59.4
5883,901,20,9,1,2,01:57.7,01:59.4,01:59.5
5884,901,3,131,6,3,01:57.2,01:59.4,02:00.1
5885,901,4,6,14,4,01:58.9,02:01.4,02:00.2
5886,901,817,9,3,5,01:58.9,02:00.1,02:00.5
5887,901,8,6,7,6,01:59.3,02:01.5,02:01.2
5888,901,807,10,27,7,01:58.9,02:00.8,02:01.7
5889,901,825,1,20,8,02:00.4,02:02.1,02:02.2
5890,901,818,5,25,9,02:01.7,02:02.1,02:03.1
5891,901,18,1,22,10,02:00.9,02:01.8,02:04.1
5892,901,826,5,26,11,02:01.2,02:02.4,\N
5893,901,821,15,21,12,02:01.1,02:02.4,\N
5894,901,13,3,19,13,02:00.0,02:02.5,\N
5895,901,815,10,11,14,02:00.1,02:02.5,\N
5896,901,822,3,77,15,01:59.7,02:02.8,\N
5897,901,154,208,8,16,02:00.2,02:02.9,\N
5898,901,813,208,13,17,02:02.1,\N,\N
5899,901,16,15,99,18,02:02.1,\N,\N
5900,901,824,206,17,19,02:02.7,\N,\N
5901,901,155,207,10,20,02:03.6,\N,\N
5902,901,820,206,4,21,02:04.4,\N,\N
5903,901,828,207,9,22,02:04.4,\N,\N
5904,902,3,131,6,1,01:35.4,01:33.7,01:33.2
5905,902,1,131,44,2,01:35.3,01:33.9,01:33.5
5906,902,817,9,3,3,01:36.2,01:34.6,01:34.1
5907,902,822,3,77,4,01:34.9,01:34.8,01:34.2
5908,902,815,10,11,5,01:35.0,01:34.7,01:34.3
5909,902,8,6,7,6,01:35.2,01:34.9,01:34.4
5910,902,18,1,22,7,01:35.7,01:34.7,01:34.4
5911,902,13,3,19,8,01:35.1,01:34.8,01:34.5
5912,902,825,1,20,9,01:35.3,01:34.9,01:34.7
5913,902,4,6,14,10,01:35.3,01:34.7,01:35.0
5914,902,20,9,1,11,01:35.5,01:35.0,\N
5915,902,807,10,27,12,01:34.9,01:35.1,\N
5916,902,826,5,26,13,01:35.4,01:35.1,\N
5917,902,818,5,25,14,01:35.8,01:35.3,\N
5918,902,821,15,21,15,01:36.6,01:35.9,\N
5919,902,154,208,8,16,01:36.7,01:35.9,\N
5920,902,813,208,13,17,01:36.7,\N,\N
5921,902,16,15,99,18,01:36.8,\N,\N
5922,902,155,207,10,19,01:37.1,\N,\N
5923,902,824,206,17,20,01:37.3,\N,\N
5924,902,828,207,9,21,01:37.9,\N,\N
5925,902,820,206,4,22,01:37.9,\N,\N
5950,903,1,131,44,1,01:55.5,01:54.0,01:53.9
5951,903,817,9,3,2,01:56.6,01:55.3,01:54.5
5952,903,20,9,1,3,01:55.9,01:54.5,01:55.0
5953,903,3,131,6,4,01:56.1,01:55.3,01:55.1
5954,903,4,6,14,5,01:57.0,01:55.8,01:55.6
5955,903,13,3,19,6,01:56.8,01:56.8,01:56.1
5956,903,822,3,77,7,01:56.5,01:56.3,01:56.3
5957,903,807,10,27,8,01:55.9,01:56.8,01:56.4
5958,903,818,5,25,9,01:57.5,01:56.6,01:56.8
5959,903,154,208,8,10,01:58.4,01:56.4,01:57.1
5960,903,8,6,7,11,01:58.3,01:56.9,\N
5961,903,18,1,22,12,01:57.8,01:57.0,\N
5962,903,826,5,26,13,01:57.3,01:57.3,\N
5963,903,16,15,99,14,01:58.1,01:57.4,\N
5964,903,825,1,20,15,01:57.4,01:57.7,\N
5965,903,815,10,11,16,01:58.4,01:58.3,\N
5966,903,821,15,21,17,01:59.0,\N,\N
5967,903,155,207,10,18,01:59.3,\N,\N
5968,903,824,206,17,19,01:59.3,\N,\N
5969,903,828,207,9,20,02:00.6,\N,\N
5970,903,820,206,4,21,02:00.9,\N,\N
5971,903,813,208,13,22,\N,\N,\N
5972,904,1,131,44,1,01:27.2,01:26.2,01:25.2
5973,904,3,131,6,2,01:26.8,01:26.1,01:25.4
5974,904,817,9,3,3,01:28.1,01:26.6,01:26.3
5975,904,822,3,77,4,01:28.2,01:27.6,01:26.6
5976,904,154,208,8,5,01:28.5,01:27.3,01:27.0
5977,904,8,6,7,6,01:28.3,01:27.3,01:27.1
5978,904,4,6,14,7,01:28.3,01:27.6,01:27.1
5979,904,18,1,22,8,01:28.3,01:27.6,01:27.3
5980,904,13,3,19,9,01:28.1,01:27.0,01:27.4
5981,904,20,9,1,10,01:28.0,01:27.1,\N
5982,904,807,10,27,11,01:28.2,01:27.7,\N
5983,904,815,10,11,12,01:28.5,01:28.0,\N
5984,904,826,5,26,13,01:28.1,01:28.0,\N
5985,904,821,15,21,14,01:28.4,01:28.3,\N
5986,904,825,1,20,15,01:28.4,\N,\N
5987,904,818,5,25,16,01:28.2,\N,\N
5988,904,16,15,99,17,01:28.6,\N,\N
5989,904,820,206,4,18,01:29.6,\N,\N
5990,904,824,206,17,19,01:30.2,\N,\N
5991,904,828,207,9,20,01:30.3,\N,\N
5992,904,155,207,10,21,01:30.4,\N,\N
5993,904,813,208,13,22,\N,\N,\N
5994,905,3,131,6,1,01:17.7,01:16.5,01:16.0
5995,905,1,131,44,2,01:17.8,01:16.4,01:16.0
5996,905,817,9,3,3,01:17.9,01:17.2,01:16.4
5997,905,20,9,1,4,01:18.4,01:17.1,01:16.5
5998,905,4,6,14,5,01:17.9,01:17.2,01:16.7
5999,905,8,6,7,6,01:17.9,01:17.4,01:17.4
6000,905,818,5,25,7,01:17.6,01:17.7,01:17.5
6001,905,825,1,20,8,01:18.0,01:17.6,01:17.6
6002,905,826,5,26,9,01:18.6,01:17.6,01:18.1
6003,905,815,10,11,10,01:18.1,01:17.8,01:18.3
6004,905,807,10,27,11,01:18.4,01:17.8,\N
6005,905,18,1,22,12,01:17.9,01:18.0,\N
6006,905,822,3,77,13,01:18.4,01:18.1,\N
6007,905,154,208,8,14,01:18.3,01:18.2,\N
6008,905,813,208,13,15,01:18.6,01:18.4,\N
6009,905,13,3,19,16,01:18.2,\N,\N
6010,905,821,15,21,17,01:18.7,\N,\N
6011,905,16,15,99,18,01:18.7,\N,\N
6012,905,824,206,17,19,01:19.3,\N,\N
6013,905,820,206,4,20,01:19.9,\N,\N
6014,905,155,207,10,21,01:20.1,\N,\N
6015,905,828,207,9,22,01:21.7,\N,\N
6016,906,3,131,6,1,01:16.5,01:15.3,01:14.9
6017,906,1,131,44,2,01:15.8,01:15.1,01:15.0
6018,906,20,9,1,3,01:17.5,01:16.1,01:15.5
6019,906,822,3,77,4,01:16.8,01:15.8,01:15.6
6020,906,13,3,19,5,01:16.7,01:15.8,01:15.6
