raceId,year,round,circuitId,name,date
900,2014,1,1,Australian Grand Prix,16-03-14
901,2014,2,2,Malaysian Grand Prix,30-03-14
902,2014,3,3,Bahrain Grand Prix,06-04-14
903,2014,4,17,Chinese Grand Prix,20-04-14
904,2014,5,4,Spanish Grand Prix,11-05-14
905,2014,6,6,Monaco Grand Prix,25-05-14
906,2014,7,7,Canadian Grand Prix,08-06-14
907,2014,8,70,Austrian Grand Prix,22-06-14
908,2014,9,9,British Grand Prix,06-07-14
909,2014,10,10,German Grand Prix,20-07-14
910,2014,11,11,Hungarian Grand Prix,27-07-14
911,2014,12,13,Belgian Grand Prix,24-08-14
912,2014,13,14,Italian Grand Prix,07-09-14
913,2014,14,15,Singapore Grand Prix,21-09-14
914,2014,15,22,Japanese Grand Prix,05-10-14
915,2014,16,71,Russian Grand Prix,12-10-14
916,2014,17,69,United States Grand Prix,02-11-14
917,2014,18,18,Brazilian Grand Prix,09-11-14
918,2014,19,24,Abu Dhabi Grand Prix,23-11-14
926,2015,1,1,Australian Grand Prix,15-03-15
927,2015,2,2,Malaysian Grand Prix,29-03-15
928,2015,3,17,Chinese Grand Prix,12-04-15
929,2015,4,3,Bahrain Grand Prix,19-04-15
930,2015,5,4,Spanish Grand Prix,10-05-15
931,2015,6,6,Monaco Grand Prix,24-05-15
932,2015,7,7,Canadian Grand Prix,07-06-15
933,2015,8,70,Austrian Grand Prix,21-06-15
934,2015,9,9,British Grand Prix,05-07-15
936,2015,10,11,Hungarian Grand Prix,26-07-15
937,2015,11,13,Belgian Grand Prix,23-08-15
938,2015,12,14,Italian Grand Prix,06-09-15
939,2015,13,15,Singapore Grand Prix,20-09-15
940,2015,14,22,Japanese Grand Prix,27-09-15
941,2015,15,71,Russian Grand Prix,11-10-15
942,2015,16,69,United States Grand Prix,25-10-15
943,2015,17,32,Mexican Grand Prix,01-11-15
944,2015,18,18,Brazilian Grand Prix,15-11-15
945,2015,19,24,Abu Dhabi Grand Prix,29-11-15
948,2016,1,1,Australian Grand Prix,20-03-16
949,2016,2,3,Bahrain Grand Prix,03-04-16
950,2016,3,17,Chinese Grand Prix,17-04-16
951,2016,4,71,Russian Grand Prix,01-05-16
952,2016,5,4,Spanish Grand Prix,15-05-16
953,2016,6,6,Monaco Grand Prix,29-05-16
954,2016,7,7,Canadian Grand Prix,12-06-16
955,2016,8,73,European Grand Prix,19-06-16
956,2016,9,70,Austrian Grand Prix,03-07-16
957,2016,10,9,British Grand Prix,10-07-16
958,2016,11,11,Hungarian Grand Prix,24-07-16
959,2016,12,10,German Grand Prix,31-07-16
960,2016,13,13,Belgian Grand Prix,28-08-16
961,2016,14,14,Italian Grand Prix,04-09-16
962,2016,15,15,Singapore Grand Prix,18-09-16
963,2016,16,2,Malaysian Grand Prix,02-10-16
964,2016,17,22,Japanese Grand Prix,09-10-16
965,2016,18,69,United States Grand Prix,23-10-16
966,2016,19,32,Mexican Grand Prix,30-10-16
967,2016,20,18,Brazilian Grand Prix,13-11-16
968,2016,21,24,Abu Dhabi Grand Prix,27-11-16
969,2017,1,1,Australian Grand Prix,26-03-17
970,2017,2,17,Chinese Grand Prix,09-04-17
971,2017,3,3,Bahrain Grand Prix,16-04-17
972,2017,4,71,Russian Grand Prix,30-04-17
973,2017,5,4,Spanish Grand Prix,14-05-17
974,2017,6,6,Monaco Grand Prix,28-05-17
975,2017,7,7,Canadian Grand Prix,11-06-17
976,2017,8,73,Azerbaijan Grand Prix,25-06-17
977,2017,9,70,Austrian Grand Prix,09-07-17
978,2017,10,9,British Grand Prix,16-07-17
